mtd_freq,compromised_num,host_comp_ratio,num_vulns,num_exposed,attack_path_score,mtd
0,0,0.0,0,5,0.2848988095238095,CompleteTopologyShuffle
0.0083195409750281,0,0.0,10,5,0.31685912698412705,IPShuffle
0.006432235768077052,2,0.01,0,5,0.3154761904761905,CompleteTopologyShuffle
0.00575108508779549,2,0.01,29,5,0.2932123015873016,ServiceDiversity
0.005938355729047378,2,0.01,18,5,0.298763888888889,OSDiversity
0.005663331942704331,3,0.015,13,5,0.296656746031746,CompleteTopologyShuffle
0.0053411692702010054,4,0.02,22,5,0.2837559523809525,ServiceDiversity
0.005498386771900743,4,0.02,26,5,0.2852539682539683,OSDiversity
0.005392989320620574,4,0.02,17,5,0.2824702380952381,CompleteTopologyShuffle
0.005222189864228948,5,0.025,10,5,0.2777916666666669,OSDiversity
0.005305749983643124,5,0.025,15,5,0.26790674603174613,OSDiversity
0.0052775897612298735,6,0.03,23,5,0.2565674603174603,OSDiversity
0.0052522230017484515,6,0.03,23,5,0.2623174603174604,OSDiversity
0.005229980485436195,6,0.03,21,5,0.26869642857142856,IPShuffle
0.005156372127628188,8,0.04,0,5,0.26803571428571427,IPShuffle
0.0051441339005197885,8,0.04,19,5,0.260561507936508,OSDiversity
0.005184399837719792,8,0.04,27,5,0.24657341269841276,OSDiversity
0.005173184331589338,10,0.05,5,5,0.2628769841269841,OSDiversity
0.005162239660064027,12,0.06,0,5,0.25693055555555555,OSDiversity
0.0051528334952432465,12,0.06,1,5,0.26702380952380955,ServiceDiversity
0.005156344172422754,12,0.06,35,5,0.25064087301587296,OSDiversity
0.005136754131500002,12,0.06,36,5,0.2524543650793651,OSDiversity
0.0051304383758835285,12,0.06,29,5,0.26686706349206346,OSDiversity
0.005124508540806289,12,0.06,24,5,0.23848611111111112,ServiceDiversity
0.005130291279349327,12,0.06,37,5,0.24502380952380953,ServiceDiversity
0.005124423438791094,12,0.06,25,5,0.2558492063492064,ServiceDiversity
0.005117802254862343,12,0.06,24,5,0.24022420634920638,CompleteTopologyShuffle
0.0050662354327426174,13,0.065,11,5,0.2221845238095238,CompleteTopologyShuffle
0.005063528136585074,15,0.075,1,5,0.21965079365079357,ServiceDiversity
0.005105371625390317,16,0.08,0,5,0.2061706349206349,ServiceDiversity
0.005101771100285042,16,0.08,12,5,0.2089861111111111,ServiceDiversity
0.005097043799805658,19,0.095,9,5,0.19589880952380953,IPShuffle
0.005061612906347347,21,0.105,4,5,0.18356547619047614,ServiceDiversity
0.0050904718059524455,22,0.11,0,5,0.19958333333333328,ServiceDiversity
0.005087254838641314,23,0.115,10,5,0.23095833333333338,OSDiversity
0.005076028419129324,26,0.13,0,5,0.18784523809523812,ServiceDiversity
0.0050812411134609934,27,0.135,17,5,0.21599999999999997,CompleteTopologyShuffle
0.005043980127981797,28,0.14,0,5,0.20600000000000002,OSDiversity
0.0050698110313766795,28,0.14,12,5,0.18869047619047616,CompleteTopologyShuffle
0.005040899458332608,32,0.16,0,5,0.1776686507936508,IPShuffle
0.005045523895558129,33,0.165,0,5,0.1786686507936508,CompleteTopologyShuffle
0.00503817558510317,33,0.165,0,5,0.18200198412698412,CompleteTopologyShuffle
0.005036428434693994,35,0.175,0,5,0.30434782608695654,ServiceDiversity
0.005065148632964938,36,0.18,10,5,0.391304347826087,IPShuffle
0.005040035604125921,38,0.19,0,5,0.391304347826087,ServiceDiversity
0.005061341821103832,41,0.205,0,5,0.43478260869565216,OSDiversity
0.005053134555182676,41,0.205,14,5,0.41304347826086957,IPShuffle
0.00503624348622249,43,0.215,0,5,0.41304347826086957,ServiceDiversity
0.005056047794893632,45,0.225,0,5,0.30434782608695654,OSDiversity
0.00504958118689978,47,0.235,0,5,0.2608695652173913,CompleteTopologyShuffle
